     2,625	     0,99979456
     2,656	     0,99982764
     2,688	     0,99985566
     2,719	     0,99987935
     2,750	     0,99989934
     2,781	     0,99991617
     2,813	     0,99993032
     2,844	     0,99994219
     2,875	     0,99995212
     2,906	     0,99996042
     2,938	     0,99996735
     2,969	     0,99997311
     3,000	     0,99997789
     3,031	     0,99998186
     3,063	     0,99998515
     3,094	     0,99998786
     3,125	     0,99999010
     3,156	     0,99999193
     3,188	     0,99999344
     3,219	     0,99999468
     3,250	     0,99999569
     3,281	     0,99999652
     3,313	     0,99999719
     3,344	     0,99999774
     3,375	     0,99999818
     3,406	     0,99999854
     3,438	     0,99999883
     3,469	     0,99999907
     3,500	     0,99999926
     3,531	     0,99999941
     3,563	     0,99999953
     3,594	     0,99999963
     3,625	     0,99999970
     3,656	     0,99999977
     3,688	     0,99999982
     3,719	     0,99999985
     3,750	     0,99999989
     3,781	     0,99999991
     3,813	     0,99999993
     3,844	     0,99999995
     3,875	     0,99999996
     3,906	     0,99999997
     3,938	     0,99999997
     3,969	     0,99999998
