50000 	 0,01295692 	 0,00712602
60000 	 0,01183619 	 0,00919358
70000 	 0,01094724 	 0,01194586
80000 	 0,01022993 	 0,00623789
90000 	 0,00962320 	 0,00176096
100000 	 0,00914455 	 0,00423459
110000 	 0,00872953 	 0,00650680
120000 	 0,00834719 	 0,00238960
130000 	 0,00800597 	 0,00470144
140000 	 0,00771138 	 0,00844395
150000 	 0,00746199 	 0,01436915
160000 	 0,00721524 	 0,00336829
170000 	 0,00701524 	 0,00230928
180000 	 0,00681659 	 0,01061660
190000 	 0,00663988 	 0,00856264
200000 	 0,00646153 	 0,00834616
210000 	 0,00630146 	 0,00273784
220000 	 0,00616638 	 0,00550014
230000 	 0,00603533 	 0,00093660
240000 	 0,00590477 	 0,00265565
250000 	 0,00578453 	 0,01153286
260000 	 0,00567001 	 0,00479982
270000 	 0,00557055 	 0,00185064
280000 	 0,00545990 	 0,00001985
290000 	 0,00536602 	 0,00471515
300000 	 0,00527815 	 0,00089929
310000 	 0,00519581 	 0,00398458
320000 	 0,00510754 	 0,00061091
330000 	 0,00503248 	 0,00332770
340000 	 0,00495535 	 0,00668983
350000 	 0,00488540 	 0,00653349
360000 	 0,00482043 	 0,00741993
370000 	 0,00474472 	 0,00128755
380000 	 0,00469200 	 0,00699739
390000 	 0,00462761 	 0,00304340
400000 	 0,00456682 	 0,00739741
410000 	 0,00451667 	 0,00022421
420000 	 0,00445706 	 0,01370535
430000 	 0,00440533 	 0,00276385
440000 	 0,00435489 	 0,00403525
450000 	 0,00431264 	 0,00400267
460000 	 0,00425644 	 0,00174991
470000 	 0,00421427 	 0,00096929
480000 	 0,00417297 	 0,00018287
490000 	 0,00412398 	 0,00439954
