1E-05 1,25E-11 2,5E-06
0,0066670114172586 5,55414824977025E-06 0,0016661614996975
0,00690657023279487 5,96045976727485E-06 0,00172602859977245
0,00715304806620832 6,39347545567581E-06 0,00178762469163285
0,00740659616600219 6,85475379171363E-06 0,00185098756004058
0,00766736802845507 7,34593283583462E-06 0,00191615555028091
0,00793551941551933 7,86873372095905E-06 0,00198316757253692
0,00821120837276054 8,42496426925501E-06 0,00205206310626692
0,00849459524733926 9,01652274071594E-06 0,00212288220458482
0,00878584270603713 9,6454017174273E-06 0,00219566549864323
0,00908511575332854 1,03136921274964E-05 0,00227045420201931
0,00939258174950011 1,10235874127102E-05 0,00234729011510319
0,00970841042881921 1,17773878440756E-05 0,00242621562948873
0,0100327739177545 1,2577504989495E-05 0,00250727373236676
0,0103658467532493 1,34264663379185E-05 0,00259050801092029
0,0107078059010511 1,43269200844164E-05 0,00267596265672176
0,0110588307740991 1,52816400807118E-05 0,00276368247013221
0,0114191032509714 1,62935309558119E-05 0,0028537128647019
0,0117888076943959 1,73656334114811E-05 0,00294609987157241
0,0121681309698258 1,85011296974016E-05 0,00304089014387996
0,0125572624640844 1,97033492709722E-05 0,00313813096115965
0,0129563941040798 2,09757746468034E-05 0,00323787023375045
0,0133657203755948 2,23220474410786E-05 0,00334015650720058
0,0137854383421535 2,37459746160557E-05 0,00344503896667296
0,0142157476639688 2,5251534930109E-05 0,00355256744135073
0,0146568506169742 2,68428855988113E-05 0,00366279240884207
0,015108952111943 2,85243691726844E-05 0,00377576499958415
0,0155722597136995 3,03005206373646E-05 0,0038915370012461
0,0160469836604259 3,21760747420442E-05 0,00401016086313011
0,0165333368830685 3,41559735621821E-05 0,00413168970057054
0,0170315350248487 3,62453743026012E-05 0,00425617729933071
0,0175417964608827 3,84496573472126E-05 0,00438367811999648
0,0180643423179148 4,07744345617458E-05 0,00451424730236644
0,0185993964941688 4,32255578559945E-05 0,00464794066983814
0,0191471856793249 4,58091280122212E-05 0,00478481473378964
0,0197079393746241 4,85315037865049E-05 0,00492492669795583
0,0202818899131088 5,13993112899584E-05 0,00506833446279894
0,0208692724800051 5,44194536568848E-05 0,00521509662987254
0,0214703251332516 5,75991210070894E-05 0,00536527250617832
0,022085288824183 6,09458007097123E-05 0,00551892210851471
0,0227144074183741 6,44672879561032E-05 0,00567610616781678
0,0233579277166526 6,81716966494131E-05 0,00583688613348644
0,024016099476287 7,20674706187414E-05 0,00600132417771215
0,0246891754323583 7,6163395165831E-05 0,00616948319977693
0,0253774113193236 8,04686089524836E-05 0,0063414268303541
0,0260810658927796 8,49926162370201E-05 0,00651721943578919
0,0268004009514355 8,97452994683067E-05 0,00669692612236742
0,0275356813593042 9,47369322460167E-05 0,00688061274056503
0,0282871750681224 9,99781926560137E-05 0,00706834588928388
0,0290551531400082 0,00010548017698989 0,00726019292006729
0,0298398897703687 0,000111254413857919 0,00745622194129646
