1E-05 1,25E-11 2,5E-06
5,44806554476928 -0,101556653774851 -0,30646731389451
5,47397448486166 -0,109447846773233 -0,302655267401077
5,50005661894585 -0,117289996784335 -0,298661762836227
5,52632256660522 -0,125080105343028 -0,294484372048814
5,55278361891572 -0,132815072613174 -0,290120477172013
5,57945181529144 -0,14049168849851 -0,285567250730808
5,60634003124263 -0,148106622717639 -0,280821632764595
5,63346207908161 -0,155656413676849 -0,275880304411953
5,66083282407496 -0,163137455940992 -0,270739657277542
5,68846831912899 -0,170545986060866 -0,26539575773911
5,71638596185334 -0,177878066463132 -0,259844305144258
5,74458251454381 -0,185123935494636 -0,254085168761491
5,77276654711744 -0,192202199655479 -0,248179720889623
5,80083510503884 -0,199084014107336 -0,242154638652155
5,82875775122448 -0,205760311451651 -0,236022596817105
5,85653119604781 -0,212229226753194 -0,229790670762166
5,88416194723315 -0,218491387269883 -0,223463676294347
5,91165976470035 -0,224548175240788 -0,21704548743374
5,93903523118657 -0,230401099646211 -0,21053955706416
5,96629887946637 -0,236051577991014 -0,203949125096163
5,99346090377844 -0,241500868077639 -0,197277304329185
6,0205310875399 -0,246750053553891 -0,190527118331064
6,04751880876777 -0,25180004786051 -0,183701520315855
6,07443307140744 -0,256651603712474 -0,176803404321969
6,10128254351244 -0,261305323538633 -0,169835613114406
6,12807559551968 -0,265761669336269 -0,162800944561697
6,15482033644406 -0,270020971490699 -0,155702157198772
6,18152464749203 -0,274083436492857 -0,148541975281002
6,20819621318019 -0,277949153611905 -0,14132309347464
6,23484255023056 -0,281618100611927 -0,134048181264089
6,26147103455355 -0,285090148601897 -0,126719887129054
6,28808892662089 -0,288365066098478 -0,1193408425319
6,31470339550766 -0,291442522369342 -0,111913665748951
6,34132154185765 -0,294322090113047 -0,104440965575592
6,36795042000534 -0,297003247521006 -0,0969253449322664
6,3945970594697 -0,299485379757505 -0,0893694043967057
6,42126848602141 -0,301767779885158 -0,0817757456863081
6,44797174251561 -0,303849649255279 -0,0741469751136774
6,47471390967569 -0,305730097375372 -0,0664857070377223
6,501502127011 -0,307408141258891 -0,058794567332585
6,52834361405184 -0,308882704255726 -0,0510761968966365
6,55524569208864 -0,310152614355042 -0,0433332552242965
6,58221580660944 -0,311216601945257 -0,0355684240641272
6,60926155064008 -0,312073297008764 -0,0277844111877911
6,63639068920613 -0,312721225721328 -0,019983954295914
6,66361118515387 -0,313158806417836 -0,012169825088767
6,69093122659079 -0,313384344876855 -0,00434483353211754
6,71835925623509 -0,313396028866207 0,00348816764867747
6,74590400299795 -0,313191921880087 0,0113262782096166
6,77357451616543 -0,312769955984778 0,019166545323327
6,80138020259743 -0,312127923674475 0,0270059581628107
6,82933086742325 -0,31126346862042 0,034841442081967
6,85743675878773 -0,310174075175014 0,042669852334011
6,88570861729235 -0,308857056466888 0,0504879672603957
6,91415773088515 -0,307309540892221 0,0582924808726855
6,94279599608656 -0,305528456770511 0,0660799947375229
6,97163598660124 -0,303510514888086 0,073847009060037
7,00069103056615 -0,301252188597723 0,0815899128431664
7,02997529793182 -0,298749691075244 0,0893049729784829
7,0595038997806 -0,295998949250452 0,0969883220974975
7,08929300176809 -0,292995573825682 0,104635944979496
7,11935995435623 -0,289734824664533 0,112243663271462
7,14972344311522 -0,286211570668156 0,119807118224797
7,18040366315063 -0,282420243045682 0,127321751090086
7,21142252271286 -0,278354780614424 0,134782780730558
7,24280388234743 -0,274008565413699 0,142185177912287
7,27457383764948 -0,269374346455175 0,149523635596849
7,30676105594592 -0,264444148822027 0,156792534390203
7,33939718025601 -0,259209164511195 0,163985902075424
7,37251731798912 -0,253659620303584 0,171097365856387
7,40616063748476 -0,247784616421958 0,178120095534521
7,44005858242284 -0,241629749201604 0,184984457713778
7,47387280164209 -0,235261927740174 0,191613951012971
7,50749470086522 -0,228711782172919 0,197983857373136
7,54090321232124 -0,221994824157703 0,204088436630147
7,57410909071039 -0,21512028513359 0,209928427286649
7,6071337379256 -0,208094721968 0,215506439174042
7,64000136989486 -0,200923478131886 0,220825310317412
7,67273625289443 -0,193611279613126 0,22588755472651
7,7053618376054 -0,186162483863031 0,230695202926367
7,73790058771504 -0,178581189448502 0,235249778348512
7,7703740514269 -0,170871289131554 0,239552316395358
7,80280300922878 -0,163036499254583 0,243603393138354
7,83520763859076 -0,155080378527109 0,247403152460819
7,86760767628273 -0,147006341474765 0,25095132824077
7,9000225736705 -0,138817668701183 0,25424726083019
7,93247164556954 -0,130517514864151 0,257289907905108
7,96497421500175 -0,122108914748798 0,26007784992864
7,99754975676869 -0,113594787586881 0,262609290414623
8,03021804296651 -0,104977939646878 0,264882051051139
8,06299929374165 -0,0962610650336644 0,266893561588622
8,095914336848 -0,0874467445593925 0,268640844226493
8,12898477998033 -0,0785374424638629 0,270120492042004
8,16223320047351 -0,0695355006632179 0,27132864078496
8,19568335783227 -0,0604431300805329 0,272260933097368
8,22936043577344 -0,0512623984484483 0,272912473887554
8,26329132213952 -0,0419952137557764 0,273277775165644
8,2975049373539 -0,0326433022125304 0,273350688091615
8,332032625294 -0,0232081791947149 0,273124319240417
8,366908624951 -0,0136911110460735 0,27259092706474
8,40217064762833 -0,00409306477278175 0,271741793103827
8,43786059365437 0,00558535856858389 0,27056706044242
8,47402545617218 0,0153440128431083 0,269055528941896
8,51071848004036 0,025183327069824 0,267194392312146
8,5480006755206 0,0351044703027243 0,264968895264843
8,58594283679298 0,0451095818387949 0,262361878206035
8,62462829827292 0,0552020996814019 0,259353159311207
8,66415680376073 0,0653872416035908 0,255918673896929
8,70465011837412 0,0756727323815045 0,252029237745393
8,746260496872 0,0860699467303247 0,247648700876964
8,78918410421106 0,0965957949376334 0,242731056731652
8,83368365632865 0,107276033641094 0,237215630407769
8,88012991340268 0,118151580360355 0,231018391202475
8,92908705109011 0,129292036522242 0,224014375339786
8,98152198509363 0,140830219835165 0,215995401293899
9 0,144794234096554 0,213046116615503
