

200 	 214 	 33197
205 	 456 	 77826
210 	 346 	 58856
215 	 194 	 27952
220 	 862 	 113534
225 	 229 	 32468
230 	 1739 	 271828
235 	 1149 	 161953
240 	 520 	 83682
245 	 521 	 77951
250 	 537 	 85628
255 	 446 	 71954
260 	 192 	 31016
265 	 1038 	 166473
270 	 863 	 132829
275 	 297 	 46200
280 	 870 	 127711
285 	 1925 	 286419
290 	 767 	 108913
295 	 602 	 84302
300 	 1733 	 239382
305 	 892 	 120777
310 	 546 	 69858
315 	 572 	 76956
320 	 1824 	 237695
325 	 3886 	 495891
330 	 366 	 46514
335 	 1082 	 123165
340 	 1233 	 152114
345 	 2458 	 295582
350 	 1229 	 142009
355 	 3433 	 297656
360 	 1070 	 74826
365 	 821 	 79960
370 	 873 	 94269
375 	 1878 	 164119
380 	 1093 	 76641
385 	 1961 	 203734
390 	 1496 	 151146
395 	 690 	 71275


40 	 159 	 165665
45 	 199 	 182204
50 	 352 	 300403
55 	 645 	 485002
60 	 897 	 585356
65 	 805 	 524045
70 	 1317 	 801001
75 	 1524 	 867293
80 	 2297 	 1246305
85 	 2137 	 1117561
90 	 2973 	 1423752
95 	 4659 	 2024282
100 	 5228 	 2359953


40 	 5 	 8
45 	 7 	 8
50 	 9 	 8
55 	 13 	 8
60 	 17 	 9
65 	 22 	 9
70 	 27 	 9
75 	 34 	 9
80 	 41 	 9
85 	 49 	 9
90 	 62 	 9
95 	 65 	 9
100 	 81 	 9
105 	 94 	 9
110 	 110 	 10
115 	 125 	 10
120 	 143 	 9
125 	 158 	 9
130 	 182 	 10
135 	 207 	 10
140 	 234 	 10
145 	 253 	 9
150 	 296 	 9
155 	 322 	 10
160 	 377 	 10
165 	 401 	 10
170 	 426 	 10
175 	 473 	 10
180 	 505 	 10
185 	 571 	 11
190 	 616 	 10
195 	 659 	 10
