101 	 -0,25 	 2
103 	 -0,3 	 2
102,003500350035 0,0171606233973194
102,009300930093 0,0171689166635243
102,015101510151 0,0171772159392477
102,020902090209 0,0171855212302935
102,026702670267 0,0171938325424726
102,032503250325 0,0172021498816029
102,038303830383 0,0172104732535095
102,044104410441 0,0172188026640244
102,049904990499 0,0172271381189865
102,055705570557 0,017235479624242
102,061506150615 0,017243827185644
102,067306730673 0,0172521808090529
102,073107310731 0,0172605405003359
102,078907890789 0,0172689062653675
102,084708470847 0,0172772781100292
102,090509050905 0,0172856560402096
102,096309630963 0,0172940400618045
102,102110211021 0,0173024301807169
102,107910791079 0,0173108264028567
102,113711371137 0,0173192287341413
102,119511951195 0,017327637180495
102,125312531253 0,0173360517478493
102,131113111311 0,017344472442143
102,136913691369 0,0173528992693221
102,142714271427 0,0173613322353397
102,148514851485 0,0173697713461563
102,154315431543 0,0173782166077394
102,160116011601 0,0173866680260638
102,165916591659 0,0173951256071118
102,171717171717 0,0174035893568726
102,177517751775 0,0174120592813429
102,183318331833 0,0174205353865267
102,189118911891 0,0174290176784351
102,194919491949 0,0174375061630867
102,200720072007 0,0174460008465074
102,206520652065 0,0174545017347302
102,212321232123 0,0174630088337958
102,218121812181 0,0174715221497519
102,223922392239 0,0174800416886538
102,229722972297 0,017488567456564
102,235523552355 0,0174970994595526
102,241324132413 0,0175056377036969
102,247124712471 0,0175141821950815
102,252925292529 0,0175227329397988
102,258725872587 0,0175312899439482
102,264526452645 0,0175398532136369
102,270327032703 0,0175484227549792
102,276127612761 0,0175569985740971
102,281928192819 0,01756558067712
102,287728772877 0,0175741690701848
102,293529352935 0,0175827637594358
102,299329932993 0,0175913647510248
102,305130513051 0,0175999720511113
102,310931093109 0,0176085856658621
102,316731673167 0,0176172056014517
102,322532253225 0,017625831864062
102,328332833283 0,0176344644598825
102,334133413341 0,0176431033951103
102,339933993399 0,0176517486759502
102,345734573457 0,0176604003086142
102,351535153515 0,0176690582993224
102,357335733573 0,017677722654302
102,363136313631 0,0176863933797883
102,368936893689 0,0176950704820239
102,374737473747 0,0177037539672592
102,380538053805 0,0177124438417522
102,386338633863 0,0177211401117686
102,392139213921 0,0177298427835817
102,397939793979 0,0177385518634726
102,403740374037 0,01774726735773
102,409540954095 0,0177559892726504
102,415341534153 0,017764717614538
102,421142114211 0,0177734523897046
102,426942694269 0,0177821936044699
102,432743274327 0,0177909412651613
102,438543854385 0,0177996953781141
102,444344434443 0,0178084559496712
102,450145014501 0,0178172229861832
102,455945594559 0,0178259964940089
102,461746174617 0,0178347764795146
102,467546754675 0,0178435629490744
102,473347334733 0,0178523559090704
102,479147914791 0,0178611553658924
102,484948494849 0,0178699613259383
102,490749074907 0,0178787737956136
102,496549654965 0,0178875927813318
102,502350235023 0,0178964182895143
102,508150815082 0,0179052503265905
102,51395139514 0,0179140888989975
102,519751975198 0,0179229340131804
102,525552555256 0,0179317856755925
102,531353135314 0,0179406438926947
102,537153715372 0,0179495086709559
102,54295429543 0,0179583800168534
102,548754875488 0,0179672579368719
102,554555455546 0,0179761424375044
102,560356035604 0,0179850335252521
102,566156615662 0,0179939312066238
102,57195719572 0,0180028354881366
102,577757775778 0,0180117463763156
102,583558355836 0,018020663877694
102,589358935894 0,0180295879988131
102,595159515952 0,018038518746222
102,60096009601 0,0180474561264783
102,606760676068 0,0180564001461475
102,612561256126 0,0180653508118031
102,618361836184 0,018074308130027
102,624162416242 0,0180832721074091
102,6299629963 0,0180922427505475
102,635763576358 0,0181012200660483
102,641564156416 0,0181102040605261
102,647364736474 0,0181191947406034
102,653165316532 0,0181281921129111
102,65896589659 0,0181371961840881
